predictor,B,SE,df,t,p_penalized,n_obs,n_unique_dyad,ROI,signal_type,stimulus,p_fdr,sig_uncorrected,sig_fdr
WHO5,-0.01732174313871873,0.01175234009261118,4558,-1.4738973687128996,0.14064733533288765,9310,4560,rdlPFC,HbR,Zima,0.14064733533288765,FALSE,FALSE
Mindwandering_Zima,-0.0092027690731211,0.01195269730413159,4556,-0.7699324126563513,0.44141981768034533,9306,4558,rdlPFC,HbR,Zima,0.6147557082375846,FALSE,FALSE
Loneliness,0.005281354206307233,0.010815305466685817,5252,0.48832224134355606,0.625362382460499,10712,5254,rdlPFC,HbR,Splitscreen,0.9456473427482726,FALSE,FALSE
MW_state,-0.01632697691596275,0.010823331245497204,5252,-1.508498312176781,0.13154733438887373,10712,5254,rdlPFC,HbR,Splitscreen,0.2265595530028744,FALSE,FALSE
MW_trait,-2.2585898952040545e-4,0.010812880733113928,5252,-0.0208879571591614,0.9833366202454701,10712,5254,rdlPFC,HbR,Splitscreen,0.9833366202454701,FALSE,FALSE
PHQ9,-0.00355140209285417,0.010937878637157939,5252,-0.3246883797731508,0.7454427923967887,10712,5254,rdlPFC,HbR,Splitscreen,0.9586480050034798,FALSE,FALSE
GAD,-0.010529509021455908,0.011092481261438187,5252,-0.9492474022075303,0.3425821469334499,10712,5254,rdlPFC,HbR,Splitscreen,0.6166478644802098,FALSE,FALSE
SIAS,-0.01616082778626074,0.01089990906913106,5252,-1.4826571197762368,0.13828552648149342,10712,5254,rdlPFC,HbR,Splitscreen,0.4148565794444803,FALSE,FALSE
AQ10,0.0033321374179526497,0.01087043322235688,5252,0.30653216387913107,0.7592237962058987,10712,5254,rdlPFC,HbR,Splitscreen,0.8735881104796294,FALSE,FALSE
ASRS,-0.0013816380080458397,0.0107859744225926,5252,-0.12809579866533177,0.8980829693826212,10712,5254,rdlPFC,HbR,Splitscreen,0.9629139504453046,FALSE,FALSE
WHO5,-0.01797512390030877,0.010734566318694107,5252,-1.6745086263061535,0.09414975636345074,10712,5254,rdlPFC,HbR,Splitscreen,0.10591847590888209,FALSE,FALSE
Mindwandering_Splitscreen,-0.003682050316148537,0.01086202152803428,5246,-0.3389838904890188,0.7346490007109349,10700,5248,rdlPFC,HbR,Splitscreen,0.9942134191668255,FALSE,FALSE
Loneliness,-0.0022723532025275563,0.013169628622677718,4752,-0.17254497204383046,0.8630238045576303,9702,4754,rTPJ,HbO,Splitscreen,0.9456473427482726,FALSE,FALSE
MW_state,-0.028549407583349933,0.01315356591815442,4752,-2.170469039421951,0.03007007390487288,9702,4754,rTPJ,HbO,Splitscreen,0.10572087562345017,TRUE,FALSE
MW_trait,-0.023852809892326517,0.013156982484919024,4752,-1.8129392449725772,0.06996733356000107,9702,4754,rTPJ,HbO,Splitscreen,0.3148530010200048,FALSE,FALSE
PHQ9,-0.007497724651511037,0.013383324254439204,4752,-0.5602288720624897,0.5753761518154897,9702,4754,rTPJ,HbO,Splitscreen,0.9586480050034798,FALSE,FALSE
GAD,-0.014813538134438434,0.013674296652207749,4752,-1.083312620108088,0.2787796053112823,9702,4754,rTPJ,HbO,Splitscreen,0.6166478644802098,FALSE,FALSE
SIAS,0.0028013218599928355,0.013223279975863995,4752,0.21184773105507812,0.8322439995212987,9702,4754,rTPJ,HbO,Splitscreen,0.8888714309100652,FALSE,FALSE
AQ10,-0.020558446352880417,0.013279182375544004,4752,-1.5481710975475782,0.1217142852549591,9702,4754,rTPJ,HbO,Splitscreen,0.8735881104796294,FALSE,FALSE
ASRS,6.035630767177492e-4,0.012979258692781933,4752,0.0465021224250199,0.9629139504453046,9702,4754,rTPJ,HbO,Splitscreen,0.9629139504453046,FALSE,FALSE
WHO5,-0.026095577060149866,0.01283014149841056,4752,-2.0339274561689495,0.04206979220185972,9702,4754,rTPJ,HbO,Splitscreen,0.07310831397506426,TRUE,FALSE
Mindwandering_Splitscreen,-9.583689653675806e-4,0.013239125485927658,4749,-0.07238914431215758,0.942298320351119,9696,4751,rTPJ,HbO,Splitscreen,0.9942134191668255,FALSE,FALSE
