subject,channel,mean_isc_z,signal_type,stimulus
29,lTPJ,0.07728717499654152,HbO,Zima
29,ldlPFC,0.08783093922818609,HbO,Zima
29,rTPJ,0.10444169966809584,HbO,Zima
29,rdlPFC,0.08395721630133635,HbO,Zima
29,vmPFC,0.09020869598413439,HbO,Zima
30,dmPFC,0.09550392880952699,HbO,Zima
30,lTPJ,0.1075456979499193,HbO,Zima
30,ldlPFC,0.09484490424712334,HbO,Zima
30,rTPJ,0.09011834838585288,HbO,Zima
30,rdlPFC,0.09017923929864703,HbO,Zima
30,vmPFC,0.08542414522038236,HbO,Zima
31,dmPFC,0.054554655643980335,HbO,Zima
31,lTPJ,0.05693099519333358,HbO,Zima
31,ldlPFC,0.059789031933173996,HbO,Zima
31,rTPJ,0.02464504649502762,HbO,Zima
31,rdlPFC,0.041708893176033435,HbO,Zima
31,vmPFC,0.07519111410676134,HbO,Zima
32,dmPFC,0.0325173862947857,HbO,Zima
32,lTPJ,0.04861237886799293,HbO,Zima
32,ldlPFC,0.021602304502313586,HbO,Zima
32,rTPJ,0.0517103664981749,HbO,Zima
32,rdlPFC,0.019299186702648487,HbO,Zima
32,vmPFC,0.03426804114462665,HbO,Zima
33,dmPFC,0.062285538419940924,HbO,Zima
33,lTPJ,0.0671069953368439,HbO,Zima
33,ldlPFC,0.08007632926612963,HbO,Zima
33,rTPJ,0.052358061333115775,HbO,Zima
33,rdlPFC,0.07158240401714268,HbO,Zima
33,vmPFC,0.08152198408610653,HbO,Zima
34,dmPFC,-0.002294138512093338,HbO,Zima
34,lTPJ,0.028264212671552387,HbO,Zima
34,ldlPFC,0.02630268580446624,HbO,Zima
34,rTPJ,0.027078787467286116,HbO,Zima
34,rdlPFC,0.033448871522765766,HbO,Zima
34,vmPFC,-0.027073577914760196,HbO,Zima
35,dmPFC,0.030984941022589963,HbO,Zima
35,lTPJ,0.08523878210910804,HbO,Zima
35,ldlPFC,0.04416871432556875,HbO,Zima
35,rTPJ,0.07309366422553537,HbO,Zima
35,rdlPFC,0.07536325703034351,HbO,Zima
35,vmPFC,0.0154271818893214,HbO,Zima
36,dmPFC,-0.004328798331600859,HbO,Zima
36,ldlPFC,0.019138092792113693,HbO,Zima
36,rTPJ,0.003051901854851601,HbO,Zima
36,rdlPFC,0.04028112286745339,HbO,Zima
36,vmPFC,0.027474190305943075,HbO,Zima
37,dmPFC,0.027118184539965028,HbO,Zima
37,lTPJ,0.05835517871417558,HbO,Zima
37,ldlPFC,0.05443116179615509,HbO,Zima
37,rTPJ,0.05833937894342434,HbO,Zima
37,rdlPFC,0.06255358148331457,HbO,Zima
37,vmPFC,0.06323559178733933,HbO,Zima
38,dmPFC,0.025037270628999075,HbO,Zima
38,lTPJ,0.01889111809499514,HbO,Zima
38,ldlPFC,0.018538785698303827,HbO,Zima
38,rTPJ,0.03345538248234904,HbO,Zima
38,rdlPFC,0.01678821842290824,HbO,Zima
38,vmPFC,0.028431644922397196,HbO,Zima
40,dmPFC,0.04492730158173334,HbO,Zima
40,lTPJ,0.057619338212887526,HbO,Zima
40,ldlPFC,0.0575902878690764,HbO,Zima
40,rTPJ,0.0869804578021342,HbO,Zima
40,rdlPFC,0.042595291673979296,HbO,Zima
40,vmPFC,0.02841780270470002,HbO,Zima
41,dmPFC,0.022753589100570158,HbO,Zima
41,lTPJ,0.004132651922983323,HbO,Zima
41,ldlPFC,0.013056453728771327,HbO,Zima
41,rTPJ,0.023270523990566096,HbO,Zima
41,rdlPFC,0.0055540878071746016,HbO,Zima
41,vmPFC,-0.014234286186857155,HbO,Zima
42,dmPFC,0.05299360174958091,HbO,Zima
42,lTPJ,0.07328802158482502,HbO,Zima
42,ldlPFC,0.04313256333203881,HbO,Zima
42,rTPJ,0.04500048289767484,HbO,Zima
42,rdlPFC,0.07238345695333262,HbO,Zima
42,vmPFC,0.07092746069666106,HbO,Zima
43,dmPFC,0.06737230399474121,HbO,Zima
43,lTPJ,0.04051825517267319,HbO,Zima
43,ldlPFC,0.05953148617679121,HbO,Zima
43,rTPJ,0.04924264536008049,HbO,Zima
43,rdlPFC,0.07092968533847363,HbO,Zima
43,vmPFC,0.02552547286863524,HbO,Zima
44,dmPFC,0.09749764189235707,HbO,Zima
44,lTPJ,0.05331610173679845,HbO,Zima
44,ldlPFC,0.05719653300618876,HbO,Zima
44,rdlPFC,0.03929954013508719,HbO,Zima
44,vmPFC,0.00629728898421574,HbO,Zima
45,dmPFC,0.02432996633218263,HbO,Zima
45,lTPJ,0.035491284557422884,HbO,Zima
45,ldlPFC,-0.002622513630607259,HbO,Zima
45,rTPJ,0.018362950282144894,HbO,Zima
45,rdlPFC,0.022115003018793346,HbO,Zima
45,vmPFC,0.023993739492295222,HbO,Zima
46,dmPFC,0.02884480448481024,HbO,Zima
46,lTPJ,0.030725349270296833,HbO,Zima
46,ldlPFC,0.04608452759453203,HbO,Zima
46,rTPJ,0.02618275448919489,HbO,Zima
46,rdlPFC,0.06589764004118669,HbO,Zima
46,vmPFC,0.05718274228643961,HbO,Zima
47,dmPFC,0.028876249637437647,HbO,Zima
47,ldlPFC,0.056370434844861594,HbO,Zima
47,rdlPFC,0.01003028526930479,HbO,Zima
47,vmPFC,0.03682465427797722,HbO,Zima
50,dmPFC,0.0015671348185095544,HbO,Zima
50,lTPJ,-0.019420145639482467,HbO,Zima
50,ldlPFC,0.0025011511740493262,HbO,Zima
50,rTPJ,-0.022385336341963335,HbO,Zima
50,rdlPFC,-0.0010388978782779432,HbO,Zima
50,vmPFC,0.016233963238995425,HbO,Zima
64,dmPFC,0.03762321071264567,HbO,Zima
64,lTPJ,0.057888704815144076,HbO,Zima
