ROI,Signal_Type,Stimulus,Behavioral_Variable,Spearman_rho,p_value,n,p_fdr,sig_uncorrected,sig_fdr
rdlPFC,HbO,Splitscreen,AQ10_scored,0.00405888477917497,0.9678669433526481,101,0.9678669433526481,FALSE,FALSE
rdlPFC,HbO,Splitscreen,PHQ9_total,0.08770841070949623,0.38311603690360707,101,0.8136125608149625,FALSE,FALSE
rdlPFC,HbO,Splitscreen,GAD_total,0.1219989976757037,0.2242291272867682,101,0.6726873818603045,FALSE,FALSE
rdlPFC,HbO,Splitscreen,SIAS_total,0.20558834657490674,0.03915953434743837,101,0.23495720608463022,TRUE,FALSE
rdlPFC,HbO,Splitscreen,WHO_5_total,-0.12223742534763447,0.22331808563949687,101,0.6699542569184906,FALSE,FALSE
rdlPFC,HbO,Splitscreen,ASRS_total,0.23367197632598036,0.0186827660307567,101,0.10113612167128738,TRUE,FALSE
rdlPFC,HbO,Splitscreen,Mindwandering_Splitscreen,0.008701090872385813,0.9322352968241014,98,0.9322352968241014,FALSE,FALSE
vmPFC,HbO,Zima,MW_state_SART,-0.31617274641891696,0.002018940487805943,93,0.008915422848654063,TRUE,TRUE
vmPFC,HbO,Zima,MW_trait_total,-0.06276557332088438,0.5500450173828806,93,0.8661004331602489,FALSE,FALSE
vmPFC,HbO,Zima,Accuracy,0.06215640845878321,0.56508944278546,88,0.9415285667818696,FALSE,FALSE
vmPFC,HbO,Zima,MW_Ratio,-0.03187324061050512,0.7707996635266474,86,0.7707996635266474,FALSE,FALSE
vmPFC,HbO,Zima,Loneliness,-0.10079732429923574,0.33637185960480465,93,0.9241224322455578,FALSE,FALSE
vmPFC,HbO,Zima,AQ10_scored,-0.024583818408040584,0.8150574217439321,93,0.9195621051313181,FALSE,FALSE
vmPFC,HbO,Zima,PHQ9_total,-0.06702010976730116,0.5232813403414542,93,0.7849220105121814,FALSE,FALSE
vmPFC,HbO,Zima,GAD_total,-0.005163849829510223,0.9608195413409205,93,0.9608195413409205,FALSE,FALSE
vmPFC,HbO,Zima,SIAS_total,-0.06145750880747277,0.5584047756935868,93,0.7328000740371979,FALSE,FALSE
vmPFC,HbO,Zima,WHO_5_total,-0.0504834867632517,0.6308240698474401,93,0.7617060235060786,FALSE,FALSE
vmPFC,HbO,Zima,ASRS_total,-0.02453626373704322,0.8154088202445868,93,0.8154088202445868,FALSE,FALSE
vmPFC,HbO,Zima,Mindwandering_Zima,-0.2039754722773266,0.05114392134560246,92,0.11522864003510914,FALSE,FALSE
vmPFC,HbO,Splitscreen,MW_state_SART,-0.16143292812731763,0.10679147386903416,101,0.3203744216071025,FALSE,FALSE
vmPFC,HbO,Splitscreen,MW_trait_total,-0.22181268228557582,0.025794572025974075,101,0.15476743215584446,TRUE,FALSE
vmPFC,HbO,Splitscreen,Accuracy,-0.01839534601331065,0.858063652592495,97,0.858063652592495,FALSE,FALSE
vmPFC,HbO,Splitscreen,MW_Ratio,0.07682833192464604,0.4592930161174036,95,0.7340127548328927,FALSE,FALSE
vmPFC,HbO,Splitscreen,Loneliness,-0.044514274260372,0.658479306546262,101,0.6915866541208583,FALSE,FALSE
vmPFC,HbO,Splitscreen,AQ10_scored,-0.10697803270792965,0.28696971930169296,101,0.9678669433526481,FALSE,FALSE
vmPFC,HbO,Splitscreen,PHQ9_total,-0.0230522072319147,0.819009966175506,101,0.9448941292253301,FALSE,FALSE
vmPFC,HbO,Splitscreen,GAD_total,-0.024218497093724305,0.8100212980478527,101,0.895811191780423,FALSE,FALSE
vmPFC,HbO,Splitscreen,SIAS_total,-0.07246906170192945,0.4714096507644361,101,0.8243908911790335,FALSE,FALSE
vmPFC,HbO,Splitscreen,WHO_5_total,-0.007744974484468812,0.9387282952819755,101,0.9387282952819755,FALSE,FALSE
vmPFC,HbO,Splitscreen,ASRS_total,-0.06809799090605248,0.498631982011173,101,0.498631982011173,FALSE,FALSE
vmPFC,HbO,Splitscreen,Mindwandering_Splitscreen,-0.10375692022216546,0.3092916404893278,98,0.9322352968241014,FALSE,FALSE
